person.key,person.name.last,person.name.first,entry.name
atkinson-ump,Atkinson,,#umpire
blackburn-ump,Blackburn,,#umpire
boyle-ump,Boyle,,#umpire
brandon-ump,Brandon,,#umpire
brandt-ump,Brandt,,#umpire
cameron-ump,Cameron,,#umpire
ferris-ump,Ferris,,#umpire
kelly-ump,Kelly,,#umpire
passateri-ump,Passateri,,#umpire
passateri-ump,Pasateri,,#umpire
schwartje-ump,Schwartje,,#umpire
sisson-ump,Sisson,,#umpire
anderson-ash,Anderson,,Asheville
betsill-ash,Betsill,,Asheville
bradshaw-ash,Bradshaw,,Asheville
brittain-ash,Brittain,,Asheville
bumb-ash,Bumb,,Asheville
burge-ash,Burge,,Asheville
clapp-ash+ws,Clapp,,Asheville
corbett-ash,Corbett,,Asheville
fenton-ash,Fenton,,Asheville
ferris-ash,Ferris,,Asheville
ferris-ash,Ferriss,,Asheville
fortune-ash,Fortune,,Asheville
gingras-ash,Gingras,,Asheville
gooch-ash,Gooch,,Asheville
groome-dur+ash,Groome,,Asheville
heck-ash+cha+ws,Heck,,Asheville
hewell-ash,Hewell,,Asheville
hewell-ash,Howell,,Asheville
hickman-ash,Hickman,,Asheville
hickman-ash,Hickson,,Asheville
ingle-ash,Ingle,,Asheville
jiminez-ash,Jiminez,,Asheville
kirke-ash+gre+ws,Kirke,,Asheville
kirke-ash+gre+ws,Kirk,,Asheville
lowe-ash,Lowe,,Asheville
mccoy-dur+ash,McCoy,,Asheville
munoz-ash,Munoz,,Asheville
ostermeyer-ash+dur,Ostermeyer,,Asheville
perritt-ash,Perritt,,Asheville
roth-ash,Roth,,Asheville
wasem-ash,Wasem,,Asheville
welch-ash,Welch,,Asheville
woodall-ash,Woodall,,Asheville
woodall-ash,Woodell,,Asheville
anderson-cha,Anderson,,Charlotte
baker-cha,Baker,,Charlotte
baker-cha,Baekey,,Charlotte
barrett-cha,Barrett,,Charlotte
boykin-cha,Boykin,,Charlotte
christenbury-cha,Christenberry,,Charlotte
christenbury-cha,Christenbury,,Charlotte
convery-cha,Convery,,Charlotte
darlington-cha,Darlington,,Charlotte
doak-cha,Doak,,Charlotte
dudley-cha,Dudley,,Charlotte
dunning-cha,Dunning,,Charlotte
durborrow-cha,Durborrow,,Charlotte
durborrow-cha,Durbarrow,,Charlotte
emery-cha,Emery,,Charlotte
emery-cha,Emery,B. G.,Charlotte
erhardt-cha,Erhardt,,Charlotte
geary-cha,Geary,,Charlotte
gossage-cha,Gossage,,Charlotte
gossage-cha,Gassage,,Charlotte
heavener-cha,Heavener,,Charlotte
heavener-cha,Hevener,,Charlotte
heavener-cha,Havener,,Charlotte
heck-ash+cha+ws,Heck,,Charlotte
hobert-cha,Hoberg,,Charlotte
ingle-cha,Ingle,,Charlotte
joplin-cha,Joplin,,Charlotte
ledbetter-cha,Ledbetter,,Charlotte
leonard-cha,Leonard,,Charlotte
lockerbie-cha,Lockerbie,,Charlotte
lowe-cha,Lowe,,Charlotte
manchester-cha,Manchester,,Charlotte
mason-cha,Mason,,Charlotte
mcdonald-cha,McDonald,,Charlotte
moore-cha+gre,Moore,,Charlotte
munch-cha,Munch,,Charlotte
nolan-cha,Nolan,,Charlotte
patterson-cha,Patterson,,Charlotte
pokorney-cha,Pokarney,,Charlotte
pokorney-cha,Pokorney,,Charlotte
pratt-cha,Pratt,,Charlotte
ritter-cha,Ritter,,Charlotte
robinson-cha,Robinson,,Charlotte
saunders-ws+cha,Saunders,,Charlotte
shaukeney-cha,Shawkey,,Charlotte
shaukeney-cha,Shawkeny,,Charlotte
shaukeney-cha,Shankey,,Charlotte
shaukeney-cha,Shaukency,,Charlotte
sheehan.d-cha,Sheehan,,Charlotte
sheehan.d-cha,Sheehan,D.,Charlotte
sheehan.d-cha,Sheehan,D. J.,Charlotte
sheehan.d-cha,Shehan,,Charlotte
sheehan.e-cha,Sheehan,E.,Charlotte
sindler-cha,Sindler,,Charlotte
sisson-cha,Sisson,,Charlotte
smith-cha,Smith,,Charlotte
sweeney-cha,Sweeney,,Charlotte
tesch-cha,Tesch,,Charlotte
walker-cha,Walker,,Charlotte
wasem-cha,Wason,,Charlotte
wells-cha,Wells,,Charlotte
wofford-cha,Wofford,,Charlotte
wofford-cha,Wifford,,Charlotte
yon-ral+cha,Yon,,Charlotte
atkinson-dur,Adkinson,,Durham
atkinson-dur,Atkinson,,Durham
atkinson-dur,Atchison,,Durham
atkinson-dur,Atkinson,A. B.,Durham
angier-dur,Angier,,Durham
boyle-dur,Boyle,,Durham
butts-dur,Butts,,Durham
cheek-dur,Cheek,,Durham
covington-dur,Covington,,Durham
dayton-dur,Dayton,,Durham
duggan-dur,Duggan,,Durham
emery-dur,Emery,J. R.,Durham
emery-dur,Emory,J. R.,Durham
forbes-dur,Forbes,,Durham
frey-dur,Frey,,Durham
frey-dur,Frye,,Durham
groome-dur+ash,Groome,,Durham
hiller-dur,Hiller,,Durham
irby-dur,Irby,,Durham
juggen-dur,Juggen,,Durham
kelly.j-dur,Kelly,J.,Durham
kelly.j-dur,Kelly,J. J.,Durham
kelly.j-dur,Kelly,J. A.,Durham
kelly.w-dur,Kelly,W.,Durham
